,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
L9,GPIOB6/PWM4/GP_SEL#,VCC1,GPIOB6,PWM4,GP_SEL#,,,,,,PIO,,,,,,GIRQ11,25,##,,GPIOB6,UNUSED,,,,,,,,,,,,,,,,,
J7,GPIOB7/PWM5/I2C7_SDA1/S_SBUB,VCC1,GPIOB7,PWM5,I2C7_SDA1,S_SBUB,,,,,PIO,,,,,,GIRQ11,23,##,,EC_NUM_LED#,Keyboard,GPIO,,OD_1,,,,,,,,,,J5,27,,,"To light NUM LED, low active"
H8,GPIOC0/PWM6/I2C7_SCL1/S_SBUA,VCC1,GPIOC0,PWM6,I2C7_SCL1,S_SBUA,,,,,PIO,,,,,,GIRQ10,20,##,,EC_SCROLL_LED#,Keyboard,GPIO,,OD_1,,,,,,,,,,J5,29,,,"To light SCROLL LED, low active"
H9,GPIOC1/I2C6_SDA0/AD22,VCC1,GPIOC1,I2C6_SDA0,AD22,,,,,,PIO,,,,,,GIRQ11,9,##,,EC_APU_PROCHOT#,THERMAL,GPIO,,OD_1,,,,,,,,,,J3,17,,,"EC to notify APU overheating, low active"
H10,GPIOC2/PWM1/I2C6_SCL0,VCC1,GPIOC2,PWM1,I2C6_SCL0,,,,,,PIO,,,,,,GIRQ11,13,##,,EC_CAP_LED#,Keyboard,GPIO,,OD_0,,,,,,,,,,J5,25,,,"To light CAP LED, low active"
G9,GPIOC3/PWM0,VCIO,GPIOC3,PWM0,,,,,,,PWR,,,,,,,,##,,EP_EC_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,IO_EXP0_INT_Handler,J4,13,GPIO33_12,,To notify EC expander0 has an interrupt triggered. low active
G8,GPIOC4/PWM2,VCC1,GPIOC4,PWM2,,,,,,,PIO,,,,,,GIRQ12,0,##,,EC_SLT_PWRBRK#,GPIO,GPIO,,OD_1,,,,,,,GIO2,0,,J3,18,GPIO33_16,,"To reduce PCIe device's power dissipation, low active"
H7,GPIOC5/KBRST#,VCIO,GPIOC5,KBRST#,,,,,,,PIO,,,,,,GIRQ12,1,##,,SYSTEM_S5_PG,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO0,7,SYSTEM_ALW_PG_Handler,J3,12,,,"To notify EC that system's ALWAYS power rails is ready, high active."
D10,GPIOC6/SMI#,VCIO,GPIOC6,SMI#,,,,,,,PWR,,,,,,,,##,,EC_EVAL_19V_PWREN,GPIO,GPIO,,O_0,,PWR_OFF,000008h/00000Ch,,,,GIO2,2,,J4,12,GPIO33_22,,"To enable EVAL's 19V power rail, high active"
F10,GPIOC7/DTR_BOUT/AD11,VCC1,GPIOC7,DTR_BOUT,AD11,,,,,,PWR,,,,,,,,##,,PD1_EC_USBC_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,USBC2_I2C_INT_Handler,J4,19,GPIO33_15,,"To notify EC, USB PD controller1 need service from EC"
F9,GPIOD0/I2C3_SDA0,VCC1,GPIOD0,I2C3_SDA0,,,,,,,PWR,,,,,,,,##,,EC_I2C3_SDA_3V3_EC ,I2C,I2C,,,,,,,,,,,,J6,24,,,EC I2C3 SDA
F8,GPIOD1/I2C3_SCL0,VCC1,GPIOD1,I2C3_SCL0,,,,,,,PWR,,,,,,,,##,,EC_I2C3_SCL_3V3_EC,I2C,I2C,,,,,,,,,,,,J6,20,,,EC I2C3 SCL
