,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
K8,GPIO90/I2C1_SCL0,VCC1,GPIO90,I2C1_SCL0,,,,,,,PIO,,,,,,GIRQ8,0,##,,EC_I2C1_SCL_3V3_S5 ,I2C,I2C,,,,,,,,,,,,J6,8,,,EC I2C1 SCL
K9,GPIO91/I2C2_SDA0,VCC1,GPIO91,I2C2_SDA0,,,,,,,PIO,,,,,,GIRQ10,12,##,,EC_I2C2_SDA_1V8_S5,I2C,I2C,,,,,,,,,,,,J6,18,,,EC I2C2 SDA
L8,GPIO92/I2C2_SCL0,VCC1,GPIO92,I2C2_SCL0,,,,,,,PIO,,,,,,GIRQ10,0,##,,EC_I2C2_SCL_1V8_S5,I2C,I2C,,,,,,,,,,,,J6,14,,,EC I2C2 SCL
E11,GPIO93/TA1/F_DIO2/FLM_DI2,VSPI,GPIO93,TA1,F_DIO2,FLM_DI2,,,,,PIO,,,,,,GIRQ10,8,##,,GPIO93,UNUSED,GPIO,,,,,,,,,,,,J1,30,,,
M11,GPIO94,VSPI,GPIO94,,,,,,,,PIO,,,,,,GIRQ9,13,##,,RSMRST#,PWRSEQ,GPIO,,O_0,,,,,,,,,,J4,7,,,"EC to reset FCH, low active."
L10,GPIO97,VSPI,GPIO97,,,,,,,,PIO,,,,,,GIRQ11,21,##,,APU_PWROK,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,,,APU_PWROK_SVID_Handler,J3,3,,,"To notify EC, all system power rails are ready."
K11,GPIOA5,VSPI,GPIOA5,,,,,,,,PIO,,,,,,GIRQ10,22,##,,EC_PWR_BTN#,PWRSEQ,GPIO,,OD_1,,,,,,,,,,J3,9,,,"To notify APU, power button is pressed."
F11,GPIOA6/PS2_CLK3/TA2/F_CS1#,VSPI,GPIOA6,PS2_CLK3,TA2,F_CS1#,,,,,PWR,,,,,,,,##,,EC_CODEC_MIC_HW_MUTE#,GPIO,GPIO,,OD_1,,,,,,,GIO3,7,,,,,,"To HW mute Codex MIC,  Low active. "
J11,GPIOA7/PS2_DAT3/TB2/F_DIO3/FLM_DI3,VSPI,GPIOA7,PS2_DAT3,TB2,F_DIO3,FLM_DI3,,,,PIO,,,,,,GIRQ10,23,##,,GPIOA7,UNUSED,GPIO,,,,,,,,,,,,J1,16,,,
L11,GPIOB0,VSPI,GPIOB0,,,,,,,,PIO,,,,,,GIRQ10,11,##,,EC_CODEC_DEPOP_MUTE#,GPIO,GPIO,,O_0,,,,,,,GIO1,3,,,,,,"To mute codec POP noise, low active"
K10,GPIOB2/I2C7_SDA0/DSR#,VCC1,GPIOB2,I2C7_SDA0,DSR#,,,,,,PIO,,,,,,GIRQ9,7,##,,SLP_S5#,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,,,SLP_S5_IN_Handler,J3,15,,,EC to enable/disable system S3 power rails.
J10,GPIOB3/I2C7_SCL0/DCD#,VCC1,GPIOB3,I2C7_SCL0,DCD#,,,,,,PIO,,,,,,GIRQ12,6,##,,APU_EC_ALERT#,THERMAL,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO0,6,APU_ALERT_Handler,J3,2,,,"To nofity EC, APU SB-TSI need service from EC"
B12,GPIOB4/I2C0_SDA0,VCC1,GPIOB4,I2C0_SDA0,,,,,,,PIO,,,,,,GIRQ26,5,##,,EC_I2C0_SDA_3V3_S0,I2C,I2C,,,,,,,,,,,,J6,6,,,EC I2C0 SDA
C12,GPIOB5/I2C0_SCL0,VCC1,GPIOB5,I2C_SCL0,,,,,,,PIO,,,,,,GIRQ11,8,##,,EC_I2C0_SCL_3V3_S0,I2C,I2C,,,,,,,,,,,,J6,2,,,EC I2C0 SCL
L9,GPIOB6/PWM4/GP_SEL#,VCC1,GPIOB6,PWM4,GP_SEL#,,,,,,PIO,,,,,,GIRQ11,25,##,,EC_BLINK#,DBG,GPIO,,OD_1,,,,,,,,,,J6,21,GPIO33_10,,Storage acitve indication
J7,GPIOB7/PWM5/I2C7_SDA1/S_SBUB,VCC1,GPIOB7,PWM5,I2C7_SDA1,S_SBUB,,,,,PIO,,,,,,GIRQ11,23,##,,SLP_S3_S0A3#,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,,,SLP_S3_S0A3_IN_Handler,J3,13,,,"To notify EC, S3 is asserted, low active"
H8,GPIOC0/PWM6/I2C7_SCL1/S_SBUA,VCC1,GPIOC0,PWM6,I2C7_SCL1,S_SBUA,,,,,PIO,,,,,,GIRQ10,20,##,,EC_WLAN_RASIO_DIS,GPIO,GPIO,,O_0,,,,,,,GIO4,4,,J4,2,GPIO33_18,,"To disable WLAN's raido, high active.  High-disable; "
H9,GPIOC1/I2C6_SDA0/AD22,VCC1,GPIOC1,I2C6_SDA0,AD22,,,,,,PIO,,,,,,GIRQ11,9,##,,EC_APU_PROCHOT#,THERMAL,GPIO,,OD_1,,,,,,,,,,J3,17,,,"EC to notify APU overheating, low active"
H10,GPIOC2/PWM1/I2C6_SCL0,VCC1,GPIOC2,PWM1,I2C6_SCL0,,,,,,PIO,,,,,,GIRQ11,13,##,,EC_CAP_LED,Keyboard,GPIO,,O_0,,,,,,,,,,J5,25,,,"To light CAP LED, high active"
G9,GPIOC3/PWM0,VCIO,GPIOC3,PWM0,,,,,,,PWR,,,,,,,,##,,EC_PWM0,THERMAL,PWM,,OD_0,,,,,,,,,,J5,5,,,FAN speed control for APU FAN1 
G8,GPIOC4/PWM2,VCC1,GPIOC4,PWM2,,,,,,,PIO,,,,,,GIRQ12,0,##,,EC_TPAD_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO2,4,,J3,18,GPIO33_16,,EC to enable TPAD PWR load switch. High active
H7,GPIOC5/KBRST#,VCIO,GPIOC5,KBRST#,,,,,,,PIO,,,,,,GIRQ12,1,##,,SYSTEM_S5_PG,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO1,0,SYSTEM_ALW_PG_Handler,J3,12,,,"To notify EC that system's ALWAYS power rails is ready, high active."
