Device Address,Command code,W/R,Page0.Command name,Page0.Byte,Page0.Value,Page1.Command name,Page1.Byte,Page1.Value,Page2.Command name,Page2.Byte,Page2.Value,Page3.Command name,Page3.Byte,Page3.Value,Page4.Command name,Page4.Byte,Page4.Value,,,
0x20,0xD1,RW,MFR_VCAL_PI,2,0x0520,MFR_VCAL_PI,2,0x0520,MFR_VCAL_PI,2,0x0520,MFR_VCAL_PI,2,0x0520,,,,,,
0x20,0xD2,RW,MFR_TEMP_GAIN_OFFSET,2,0x3214,MFR_TEMP_GAIN_OFFSET,2,0x3214,MFR_TEMP_GAIN_OFFSET,2,0x3214,MFR_TEMP_GAIN_OFFSET,2,0x3214,,,,,,
0x20,0xD3,RW,OCP_CAL_GAIN_OFFSET,2,0x8000,OCP_CAL_GAIN_OFFSET,2,0x8000,OCP_CAL_GAIN_OFFSET,2,0x8000,OCP_CAL_GAIN_OFFSET,2,0x8000,,,,,,
0x20,0xD4,RW,MFR_RAIL_CTRL,2,0xBD60,MFR_RAIL_CTRL,2,0xBD60,MFR_RAIL_CTRL,2,0xBD60,MFR_RAIL_CTRL,2,0xBD60,,,,,,
0x20,0xD5,RW,MFR_RAIL_DVID_CTRL,2,0x81C0,MFR_RAIL_DVID_CTRL,2,0x81C0,MFR_RAIL_DVID_CTRL,2,0x81C0,MFR_RAIL_DVID_CTRL,2,0x81C0,,,,,,
0x20,0xD6,RW,MFR_RAIL_CFG,2,0x0E2C,MFR_RAIL_CFG,2,0x0E2C,MFR_RAIL_CFG,2,0x0E2C,MFR_RAIL_CFG,2,0x0E2C,,,,,,
0x20,0xD7,RW,MFR_TRANS_CFG,2,0x0C0C,MFR_TRANS_CFG,2,0x0C0C,MFR_TRANS_CFG,2,0x0C0C,MFR_TRANS_CFG,2,0x0C0C,,,,,,
0x20,0xD8,RW,MFR_INITIAL_ADDR,2,0x3620,PSYS_CAL_OFFSET_GAIN,2,0x00AF,IOUT_OFFSET_DCM12 ,2,0x0000,IOUT_OFFSET_DCM34,2,0x0000,,,,,,
0x20,0xD9,RW,MFR_SW_PRD_SET,2,0x1CA7,MFR_SW_PRD_SET,2,0x1CA7,MFR_SW_PRD_SET,2,0x1CA7,MFR_SW_PRD_SET,2,0x14A7,,,,,,
0x20,0xDA,RW,MFR_FREQ_DET,2,0x54AA,MFR_FREQ_DET,2,0x54AA,MFR_FREQ_DET,2,0x54AA,MFR_FREQ_DET,2,0x54AA,,,,,,
0x20,0xDB,RW,MFR_PWM_MINTIME_SET,2,0x294F,MFR_PWM_MINTIME_SET,2,0x294F,MFR_PWM_MINTIME_SET,2,0x2948,MFR_PWM_MINTIME_SET,2,0x295F,,,,,,
0x20,0xDC,RW,MFR_MINOFF_TIME,2,0x530C,MFR_MINOFF_TIME,2,0x941E,MFR_MINOFF_TIME,2,0x530C,MFR_MINOFF_TIME,2,0x540F,,,,,,
0x20,0xDD,RW,MFR_VO_COMP_MAX,2,0xB3FF,MFR_VO_COMP_MAX,2,0xB0FF,MFR_VO_COMP_MAX,2,0xB1FF,MFR_VO_COMP_MAX,2,0xB2FF,,,,,,
0x20,0xDE,RW,UCP_SET,2,0xD988,UCP_SET,2,0xD988,UCP_SET,2,0xD988,UCP_SET,2,0xD988,,,,,,
0x20,0xDF,RW,MFR_DYNAMIC_CTRL,2,0x0A83,MFR_DYNAMIC_CTRL,2,0x0A83,MFR_DYNAMIC_CTRL,2,0x0A83,MFR_DYNAMIC_CTRL,2,0x0A83,,,,,,
0x20,0xE0,RW,UVP_OVP_APS_DELAY,2,0x1641,UVP_OVP_APS_DELAY,2,0x1641,UVP_OVP_APS_DELAY,2,0x1641,UVP_OVP_APS_DELAY,2,0x1641,,,,,,
0x20,0xE1,RW,TRANS_DROOP,2,0xAF7E,TRANS_DROOP,2,0x9F7B,TRANS_DROOP,2,0xAF7B,TRANS_DROOP,2,0xCF7B,,,,,,
0x20,0xE2,RW,MFR_DROOP_SET,2,0x8066,MFR_DROOP_SET,2,0x8066,MFR_DROOP_SET,2,0x8133,MFR_DROOP_SET,2,0x8133,,,,,,
0x20,0xE3,RW,MFR_DEBUG,2,0x4104,MFR_DEBUG,2,0x8137,MFR_DEBUG,2,0x8137,MFR_DEBUG,2,0x5137,,,,,,
0x20,0xE4,RW,MFR_PROTECT_CFG,2,0x050F,MFR_PROTECT_CFG,2,0x050F,MFR_PROTECT_CFG,2,0x052F,MFR_PROTECT_CFG,2,0x050F,,,,,,
0x20,0xE5,RW,MFR_APS_HYS,2,0x100A,MFR_APS_HYS,2,0x804D,MFR_APS_HYS,2,0x804D,MFR_APS_HYS,2,0x804D,,,,,,
0x20,0xE6,RW,MFR_PLATFORM_SET,2,0x0683,MFR_PLATFORM_SET,2,0x0683,MFR_PLATFORM_SET,2,0x0683,MFR_PLATFORM_SET,2,0x0683,,,,,,
0x20,0xE7,RW,MFR_DOWN_PLATFORM,2,0x4400,MFR_DOWN_PLATFORM,2,0x4400,MFR_DOWN_PLATFORM,2,0x0400,MFR_DOWN_PLATFORM,2,0x0400,,,,,,
0x20,0xE8,RW,MFR_DROOP_COMP,2,0x82BC,MFR_DROOP_COMP,2,0x8274,MFR_DROOP_COMP,2,0x82B4,MFR_DROOP_COMP,2,0x827C,,,,,,
0x20,0xE9,RW,MFR_SLOPE_SET_DCM,2,0x0355,MFR_SLOPE_SET_DCM,2,0x0355,MFR_SLOPE_SET_DCM,2,0x0355,MFR_SLOPE_SET_DCM,2,0x0355,,,,,,
0x20,0xEA,RW,MFR_SLOPE_EXT_SHD_LEVEL,2,0x2040,MFR_SLOPE_EXT_SHD_LEVEL,2,0x2020,MFR_SLOPE_EXT_SHD_LEVEL,2,0x2020,MFR_SLOPE_EXT_SHD_LEVEL,2,0x2020,,,,,,
0x20,0xEB,RW,MFR_PSI_TRIM_SLOPE_TIME,2,0xF446,MFR_PSI_TRIM_SLOPE_TIME,2,0x7446,MFR_PSI_TRIM_SLOPE_TIME,2,0x0446,MFR_PSI_TRIM_SLOPE_TIME,2,0xF446,,,,,,
0x20,0xEC,RW,MFR_ANA_SET,2,0x1016,MFR_ANA_SET,2,0x1016,MFR_ANA_SET,2,0x1016,MFR_ANA_SET,2,0x1016,,,,,,
0x20,0xED,RW,MFR_FIXED_NUM_DVID,2,0x0000,MFR_SLOPE_SET_1PHS,2,0x035A,MFR_APS_THRESHOLD1,2,0x4006,MFR_CS_OFFSET54,2,0x0000,,,,,,
0x20,0xEE,RW,MFR_CTL_CFG1,2,0x8113,MFR_SLOPE_SET_2PHS,2,0x0736,MFR_APS_THRESHOLD2,2,0x5020,MFR_CS_OFFSET76,2,0x0000,,,,,,
0x20,0xEF,RW,MFR_CTL_CFG2,2,0x4087,MFR_SLOPE_SET_3PHS,2,0x0D24,MFR_APS_THRESHOLD3,2,0x7040,MFR_CS_OFFSET98,2,0x0000,,,,,,
0x20,0xF0,RW,MFR_I2C_PASSWORD,2,0x0000,MFR_SLOPE_SET_4PHS,2,0x121B,MFR_APS_THRESHOLD4,2,0x9060,MFR_CUR_GAIN_OFFSET_PH1 ,2,0x40F3,,,,,,
0x20,0xF1,RW,MFR_PSI_TRIM_1,2,0x6666,MFR_SLOPE_SET_5PHS,2,0x1916,MFR_APS_THRESHOLD5,2,0xB080,MFR_CUR_GAIN_OFFSET_PH2,2,0x40F3,,,,,,
0x20,0xF2,RW,MFR_PSI_TRIM_2,2,0x6606,MFR_SLOPE_SET_6PHS,2,0x0000,MFR_APS_THRESHOLD6,2,0xD0A0,MFR_CUR_GAIN_OFFSET_PH3,2,0x40F3,,,,,,
0x20,0xF3,RW,MFR_GATE_CLK,2,0x8800,MFR_SLOPE_SET_7PHS,2,0x035A,MFR_APS_THRESHOLD7,2,0x0033,MFR_CUR_GAIN_OFFSET_PH4,2,0x40F3,,,,,,
0x20,0xF4,RW,OCP12_SET ,2,0x20B3,MFR_SLOPE_SET_8PHS,2,0x035A,MFR_APS_THRESHOLD8,2,0x0033,MFR_CUR_GAIN_OFFSET_PH5,2,0x40F3,,,,,,
0x20,0xF5,RW,OCP34_SET,2,0x20C1,MFR_SLOPE_SET_9PHS,2,0x035A,MFR_APS_THRESHOLD9,2,0x0033,MFR_CUR_GAIN_OFFSET_PH6,2,0x40F3,,,,,,
0x20,0xF6,RW,OCP56_SET,2,0x1E41,MFR_SLOPE_SET_EXT,2,0x0000,MFR_APS_THRESHOLD_EXT1 ,2,0x0000,MFR_CUR_GAIN_OFFSET_PH7,2,0x40F3,,,,,,
0x20,0xF7,RW,OCP78_SET,2,0x1AB5,MFR_FREQ_DET_PHASE3,2,0x1C20,MFR_APS_THRESHOLD_EXT2,2,0xA800,MFR_CUR_GAIN_OFFSET_PH8,2,0x40F3,,,,,,
0x20,0xF8,RW,OCP9_SET_CS_RES ,2,0xFF97,MFR_FREQ_DET_PHASE45,2,0x1115,MFR_FREQ_DET_PHASE67,2,0x5400,MFR_CUR_GAIN_OFFSET_PH9,2,0x40F3,,,,,,
0x20,0xF9,RW,MFR_FREQ_DET_PHASE12 ,2,0x2A54,MFR_CFG3,2,0x0025,MFR_CFG4,2,0x086F,MFR_FREQ_DET_PHASE89,2,0x5454,,,,,,
0x20,0xFA,RW,MFR_GATE_CLK_ANA_CS_OFFSET1 ,2,0x2000,MFR_HIGH_FREQ_LOAD_DETECT1,2,0xB27D,MFR_HIGH_FREQ_LOAD_DETECT2,2,0x003F,MFR_ANA_DEGLITCH,2,0xA32E,,,,,,
0x20,0xFB,RW,MFR_LOAD_TRANS_SET,2,0x0000,MFR_LOAD_TRANS_SET,2,0x0000,MFR_LOAD_TRANS_SET,2,0x0002,MFR_LOAD_TRANS_SET,2,0x0000,,,,,,
0x20,0xFC,RW,MFR_DVID_APS_OFFSET,2,0x001A,MFR_DVID_APS_OFFSET,2,0x00D0,MFR_DVID_APS_OFFSET,2,0x0040,MFR_DVID_APS_OFFSET,2,0x0040,,,,,,
0x20,0xFD,RW,MFR_REVISION,2,0x0001,MFR_RES,2,0x0000,MFR_RES,2,0x0000,MFR_RES,2,0x0000,,,,,,
